Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Espresso,9.0,1.7,0.0,0.18,0.0,0.12,0.09,0.014,0.0
Instant coffee,2.0,0.34,0.0,0.0,0.0,0.1,0.0,0.004,0.0
Aloe vera juice,15.0,3.8,0.0,0.0,0.0,0.0,0.0,0.008,3.8
Mocha,460.0,74.0,0.0,16.0,1.9,5.3,4.9,0.317,58.0
Malt beer,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.005,9.8
Cranberry juice,54.0,14.0,0.0,0.1,0.0,0.0,0.01,0.002,12.0
Light beer,46.0,0.77,0.0,0.0,0.0,0.25,0.0,0.004,0.09
Rose wine,83.0,3.8,0.0,0.0,0.0,0.36,0.0,0.005,3.8
Lemonade,40.0,10.0,0.0,0.04,0.0,0.07,0.01,0.004,10.0
Malt,85.0,11.0,0.01,3.3,0.5,3.4,1.9,0.06,6.7
Black tea,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.003,0.0
Tea,1.0,0.17,0.0,0.0,0.0,0.06,0.0,0.004,0.02
Perrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,
Coca-Cola,37.0,9.6,0.0,0.02,0.0,0.07,0.0,0.004,9.0
Drinking water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
Water,0.0,0.0,,0.0,0.0,0.0,,0.005,
Coffee liqueur,336.0,47.0,0.0,0.3,0.0,0.1,0.11,0.008,38.0
Liqueur,327.0,21.0,0.058,16.0,0.0,2.8,9.7,0.092,20.0
Gatorade,26.0,6.4,0.0,0.0,0.0,0.0,0.0,0.039,5.2
Powerade,32.0,7.8,0.0,0.05,0.0,0.0,0.01,0.042,6.1
Absinthe,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,
Roman chamomile,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Distilled beverage,250.0,0.1,0.0,0.0,0.0,0.0,0.0,0.001,0.0
Bottled water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
Merlot,83.0,2.5,,0.0,0.0,0.07,,0.004,0.62
Rockstar energy drink,58.0,13.0,0.0,0.22,0.0,0.34,0.0,0.016,12.0
Horchata,54.0,12.0,,0.71,0.0,0.48,,0.014,9.4
Rice milk,47.0,9.2,0.0,0.97,0.3,0.28,0.0,0.039,5.3
Herbal tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
V8 juice,21.0,4.1,0.0,0.0,0.8,0.82,0.0,0.173,3.3
Juice,54.0,13.0,0.0,0.0,0.2,0.2,0.0,0.002,9.4
Sake,134.0,5.0,0.0,0.0,0.0,0.5,0.0,0.002,0.0
Grape juice,62.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,15.0
Asparagus soup,69.0,8.5,0.004,3.3,0.4,1.8,0.82,0.669,0.72
Black bean soup,91.0,15.0,0.0,1.3,6.8,4.8,0.34,0.97,2.5
Soup beans,95.0,11.0,0.009,3.5,4.6,5.2,1.4,0.4,
Celery soup,72.0,7.0,0.011,4.5,0.6,1.3,1.1,0.516,1.4
Broccoli cheese soup,81.0,9.7,0.004,3.6,0.0,1.6,1.6,0.661,2.4
